Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
MacBook Pro (15 pulgadas, 2018) A1990 Core i7 2.2	512GB	155		MacBook Pro	15 pulgadas	2018	Core I7 2.2
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i5 2.3	2TB	155		MacBook Pro	13 pulgadas	2018	Core I5 2.3
MacBook Pro (15 pulgadas, 2018) A1990 Core i7 2.6	256GB	150		MacBook Pro	15 pulgadas	2018	Core I7 2.6
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i5 2.3	1TB	145		MacBook Pro	13 pulgadas	2018	Core I5 2.3
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i7 2.7	256GB	145		MacBook Pro	13 pulgadas	2018	Core I7 2.7
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i7 2.7	512GB	145		MacBook Pro	13 pulgadas	2018	Core I7 2.7
MacBook Pro (15 pulgadas, 2018) A1990 Core i7 2.2	256GB	140		MacBook Pro	15 pulgadas	2018	Core I7 2.2
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i5 2.3	512GB	140		MacBook Pro	13 pulgadas	2018	Core I5 2.3
MacBook Pro (13 pulgadas, 2018, cuatro puertos Thunderbolt 3) A1989 Core i5 2.3	256GB	120		MacBook Pro	13 pulgadas	2018	Core I5 2.3
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 3.1	2TB	140		MacBook Pro	15 pulgadas	2017	Core I7 3.1
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.9	2TB	135		MacBook Pro	15 pulgadas	2017	Core I7 2.9
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 3.1	1TB	130		MacBook Pro	15 pulgadas	2017	Core I7 3.1
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.8	2TB	125		MacBook Pro	15 pulgadas	2017	Core I7 2.8
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.9	1TB	125		MacBook Pro	15 pulgadas	2017	Core I7 2.9
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.8	1TB	120		MacBook Pro	15 pulgadas	2017	Core I7 2.8
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 3.1	512GB	120		MacBook Pro	15 pulgadas	2017	Core I7 3.1
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.8	512GB	110		MacBook Pro	15 pulgadas	2017	Core I7 2.8
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 2.9	512GB	110		MacBook Pro	15 pulgadas	2017	Core I7 2.9
MacBook Pro (15 pulgadas, 2017) A1707 Core i7 3.1	256GB	110		MacBook Pro	15 pulgadas	2017	Core I7 3.1
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i7 2.5	1TB	100		MacBook Pro	13 pulgadas	2017	Core I7 2.5
